CANONICAL_ID,VIEWPORT,REFERENCE_FILE,IMPLEMENTATION_FILE,SIDE_BY_SIDE_FILE,DIFF_FILE,REFERENCE_SHA256_16,IMPLEMENTATION_SHA256_16,DRIVE_FILE_ID,DRIVE_FOLDER,READBACK_STATUS
1k,tablet-landscape,references/1k__tablet-landscape__reference.png,implementations/1k__tablet-landscape__implementation.png,side-by-side/1k__tablet-landscape__side-by-side.png,diff/1k__tablet-landscape__diff.png,64be2922a8d368cf,d453779a9b14fa4d,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1l,mobile,references/1l__mobile__reference.png,implementations/1l__mobile__implementation.png,side-by-side/1l__mobile__side-by-side.png,diff/1l__mobile__diff.png,ba8697b03f1a55f5,55b4840f30c6dd67,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1l,tablet-portrait,references/1l__tablet-portrait__reference.png,implementations/1l__tablet-portrait__implementation.png,side-by-side/1l__tablet-portrait__side-by-side.png,diff/1l__tablet-portrait__diff.png,73561a1b35e5f499,ab203645cfe509e5,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1l,tablet-landscape,references/1l__tablet-landscape__reference.png,implementations/1l__tablet-landscape__implementation.png,side-by-side/1l__tablet-landscape__side-by-side.png,diff/1l__tablet-landscape__diff.png,e1d53622602820dd,438d2bae69a16f6f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1m,mobile,references/1m__mobile__reference.png,implementations/1m__mobile__implementation.png,side-by-side/1m__mobile__side-by-side.png,diff/1m__mobile__diff.png,edbef6b49f3e9c89,5c08239306c40df7,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1m,tablet-portrait,references/1m__tablet-portrait__reference.png,implementations/1m__tablet-portrait__implementation.png,side-by-side/1m__tablet-portrait__side-by-side.png,diff/1m__tablet-portrait__diff.png,8d0473f478db3027,d2ae7367388436e0,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1m,tablet-landscape,references/1m__tablet-landscape__reference.png,implementations/1m__tablet-landscape__implementation.png,side-by-side/1m__tablet-landscape__side-by-side.png,diff/1m__tablet-landscape__diff.png,c3f8c031352880a8,722b25435632f959,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1n,mobile,references/1n__mobile__reference.png,implementations/1n__mobile__implementation.png,side-by-side/1n__mobile__side-by-side.png,diff/1n__mobile__diff.png,4631ec12a296a7ec,33565bde0efb4932,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1n,tablet-portrait,references/1n__tablet-portrait__reference.png,implementations/1n__tablet-portrait__implementation.png,side-by-side/1n__tablet-portrait__side-by-side.png,diff/1n__tablet-portrait__diff.png,a26a96d4073d02bd,7c216279d95bfa4b,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1n,tablet-landscape,references/1n__tablet-landscape__reference.png,implementations/1n__tablet-landscape__implementation.png,side-by-side/1n__tablet-landscape__side-by-side.png,diff/1n__tablet-landscape__diff.png,275b2d4f783c118f,77a369f1e37333e9,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1o,mobile,references/1o__mobile__reference.png,implementations/1o__mobile__implementation.png,side-by-side/1o__mobile__side-by-side.png,diff/1o__mobile__diff.png,6baa633065fb9634,ac788834a6e06317,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1o,tablet-portrait,references/1o__tablet-portrait__reference.png,implementations/1o__tablet-portrait__implementation.png,side-by-side/1o__tablet-portrait__side-by-side.png,diff/1o__tablet-portrait__diff.png,0773900ab1b60b22,dfaf989d2d2f6516,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1o,tablet-landscape,references/1o__tablet-landscape__reference.png,implementations/1o__tablet-landscape__implementation.png,side-by-side/1o__tablet-landscape__side-by-side.png,diff/1o__tablet-landscape__diff.png,94613a1577bceb5f,afb6c8dd926a6029,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1p,mobile,references/1p__mobile__reference.png,implementations/1p__mobile__implementation.png,side-by-side/1p__mobile__side-by-side.png,diff/1p__mobile__diff.png,c320d2d89b1a3929,04c6dc13c1b8ab97,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1p,tablet-portrait,references/1p__tablet-portrait__reference.png,implementations/1p__tablet-portrait__implementation.png,side-by-side/1p__tablet-portrait__side-by-side.png,diff/1p__tablet-portrait__diff.png,8350cb0498c2fe97,50e67d4245884cc0,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
